Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
纯净版【包顺丰送礼包】Lenovo/联想 A789 手机 安卓系统智能触屏,"消费者保障        七天退换	正品保障",七天退换,"月售4438笔    	4124条评价",山东 济南,949.00        运费：0.00           信用卡,三际数码专营店,4438,4124
纯净版【包顺丰/送耳机+保护壳礼包】ZTE/中兴 V970 安卓智能手机,"消费者保障        七天退换	正品保障",七天退换,"月售2253笔    	1459条评价",山东 济南,1028.00        运费：0.00           信用卡,三际数码专营店,2253,1459
TOOKY/京崎 T85 双卡双待 安卓2.3.6系统 3G 正品智能手机 1GCPU,"消费者保障	七天退换",七天退换,"月售261笔	117条评价",广东 深圳,878.00        运费：0.00,京崎直营店,261,117
Nokia/诺基亚 1280大字体 老人手机 学生机 超长待机 正品 直板,消费者保障,无七天退换,"月售29笔	76条评价",广东 深圳,128.00        运费：0.00           信用卡,lhq李海秋,29,76
【狂暑季】Gionee/金立 A696 直板触屏 语音导航手机 正品行货,"消费者保障	七天退换	正品保障",七天退换,"月售11笔	25条评价",福建 厦门,599.25        运费：0.00           信用卡折扣,华特兄弟数码专营店,11,25
Motorola/摩托罗拉 EX212 V8(512M)2G 翻盖商务手机 原装正品,"消费者保障	七天退换",七天退换,"月售10笔	15条评价",广东 广州,288.00        运费：10.00           信用卡,宏达通讯旗舰店,10,15
HTC S710e G11 Incredible S HTCG11手机 HTCS710E G11正品 12年,"消费者保障	假一赔三	七天退换",七天退换,"月售12笔	487条评价",广东 深圳,2030.13        运费：0.00           信用卡,pingguo通讯,12,487
Sony Ericsson/索尼爱立信 W20/Zylo  音乐手机 行货 全国联保,"消费者保障	七天退换	正品保障",七天退换,"月售19笔	16条评价",浙江 杭州,530.00        运费：6.00           信用卡,龙浙数码专营店,19,16
Nokia/诺基亚 C1/C1-00 双卡双待 大音量 老人手机 学生手机,消费者保障,无七天退换,"月售2笔	1条评价",广东 深圳货到付款,95.00        运费：0.00           信用卡,飘逸13,2,1
BBK/步步高 V1 VIVO 安卓系统 WIFI GPS 智能手机,消费者保障,无七天退换,"月售14笔	9条评价",广东 深圳,490.00        运费：12.00           信用卡,紫蕊5588,14,9
包邮天时达 音乐手机 双卡双待 QQ手机 MP4摄像头T6800 正品行货,"消费者保障	七天退换	24小时发货",七天退换,"月售12笔	14条评价",浙江 温州,140.00        运费：0.00           信用卡,yewanshu,12,14
朵唯女性手机D210T 女款双网双卡待机安卓智能手机 赠送大礼包,"消费者保障	七天退换	正品保障",七天退换,月售3笔,广东 深圳,948.00        运费：0.00           信用卡,朵唯惠强专卖店,3,0
行货正品Nokia/诺基亚 1000 大按键老人直板手机带手电筒收音机,"消费者保障	七天退换",七天退换,"月售27笔	4条评价",浙江 杭州,110.00        运费：0.00,华万通商城,27,4
【包邮】Philips/飞利浦 W820 3G 安卓2.3  超长待机手机正品行货,"消费者保障	七天退换",七天退换,"月售2笔	5条评价",广东 深圳,806.00        运费：0.00           信用卡,kuschduan,2,5
全新正品Nokia/诺基亚N97mini 大陆行货 智能触摸屏手机 质量保证,"消费者保障	七天退换",七天退换,"月售2笔	8条评价",广东 深圳,550.00        运费：20.00,淘淘吧通信,2,8
Nokia/诺基亚 E71 正品联保行货 WIFI 3G智能手机 打折包邮顺丰,"消费者保障	七天退换",七天退换,"月售15笔	17条评价",广东 深圳货到付款,600.00        运费：0.00           信用卡,青青通讯营,15,17
双皇冠  K-Touch/天语 T580移动3G 安卓智能手机 WLAN  行货联保,"消费者保障	七天退换",七天退换,"月售14笔	3条评价",上海,430.00        运费：15.00           信用卡,honeyrain,14,3
