team,shoot,pass,tackle,steal,foul
阿尔巴尼亚,9.666666667,350.6666667,3.333333333,45,11.66666667
爱尔兰,9.5,277.5,1,37.5,13
奥地利,13,475.3333333,3.333333333,46,12
北爱尔兰,5.75,240,2.25,40.75,13.75
比利时,21,426.75,1.75,42,10.5
冰岛,7,233.25,2.5,47.25,14.25
波兰,13.75,370.5,3.75,43.25,11.5
德国,19.5,645.75,2.75,46.75,11.5
俄罗斯,11.33333333,466.6666667,2.333333333,40.66666667,11
法国,18.25,476.75,3,40.5,10
捷克,9,322.3333333,4.333333333,36,14.33333333
克罗地亚,16.75,433,6,47.25,12.5
罗马尼亚,13.33333333,348.6666667,3.333333333,41.33333333,17.33333333
葡萄牙,18,536,1,48.25,15
瑞典,7.666666667,393.6666667,1,33.33333333,13
瑞士,17.75,535.5,2.25,41.5,13.25
斯洛伐克,8.25,397.25,2.25,42.25,11.75
土耳其,8.666666667,370.3333333,3.333333333,40.33333333,13.33333333
威尔士,10.5,360,2.5,51,10.25
乌克兰,14.33333333,452,3.333333333,38.66666667,15.33333333
西班牙,15.75,641,1.75,38.5,12.5
匈牙利,13.25,439,2,42.5,14.5
意大利,8.75,395.25,1.75,37.5,17
英格兰,20.25,502.25,1.75,37.75,9.25
