"pos_date","store","male_num","female_num"
"2014-05-01","S006",193,82
"2014-05-01","S010",804,209
"2014-05-01","S035",478,153
"2014-05-01","S004",104,66
"2014-05-01","S017",702,198
"2014-05-01","S002",226,130
"2014-05-01","S005",409,69
"2014-05-01","S012",375,3
"2014-05-01","S033",269,9
"2014-05-01","S018",141,171
"2014-05-01","S036",395,207
"2014-05-01","S014",411,304
"2014-05-01","S016",165,56
"2014-05-01","S024",458,86
"2014-05-01","S026",644,104
"2014-05-01","S027",195,196
"2014-05-01","S032",358,355
"2014-05-01","S015",446,502
"2014-05-01","S022",148,38
"2014-05-01","S034",139,134
"2014-05-01","S003",370,301
"2014-05-01","S007",213,93
"2014-05-01","S013",235,43
"2014-05-01","S031",329,166
"2014-05-01","S030",617,108
"2014-05-01","S028",476,14
"2014-05-01","S001",327,273
"2014-05-01","S011",201,133
"2014-05-01","S025",431,46
"2014-05-01","S009",41,75
"2014-05-02","S006",171,115
"2014-05-02","S010",775,213
"2014-05-02","S035",609,90
"2014-05-02","S004",80,67
"2014-05-02","S017",770,120
"2014-05-02","S002",237,83
"2014-05-02","S005",378,148
"2014-05-02","S012",436,13
"2014-05-02","S033",205,25
"2014-05-02","S018",143,128
"2014-05-02","S036",270,195
"2014-05-02","S014",536,267
"2014-05-02","S016",87,100
"2014-05-02","S024",531,6
"2014-05-02","S026",663,75
"2014-05-02","S027",178,175
"2014-05-02","S032",384,283
"2014-05-02","S015",368,473
"2014-05-02","S022",160,12
"2014-05-02","S034",117,132
"2014-05-02","S003",498,174
"2014-05-02","S007",202,98
"2014-05-02","S013",276,45
"2014-05-02","S031",394,110
"2014-05-02","S030",725,89
"2014-05-02","S028",368,114
"2014-05-02","S001",324,239
"2014-05-02","S011",299,166
"2014-05-02","S025",523,93
"2014-05-02","S009",77,95
"2014-05-03","S006",163,30
"2014-05-03","S010",550,152
"2014-05-03","S035",567,66
"2014-05-03","S004",97,53
"2014-05-03","S017",535,186
"2014-05-03","S002",157,136
"2014-05-03","S005",393,84
"2014-05-03","S012",434,10
"2014-05-03","S033",235,34
"2014-05-03","S018",92,112
"2014-05-03","S036",229,91
"2014-05-03","S014",414,350
"2014-05-03","S016",217,20
"2014-05-03","S024",372,39
"2014-05-03","S026",604,66
"2014-05-03","S027",213,178
"2014-05-03","S032",311,321
