"V1","V2","V3","V4","V5"
962,2210350,4756105,"pv",1511651923
962,3570465,4756105,"pv",1511651959
962,3323923,4756105,"pv",1511651985
962,698684,3002561,"pv",1511660554
962,5097139,3102419,"pv",1511660950
962,698684,3002561,"cart",1511660977
962,3905548,4145813,"pv",1511661094
962,5127548,4145813,"pv",1511661102
962,4157274,4145813,"pv",1511661654
962,24418,4145813,"pv",1511661761
962,4433659,4145813,"pv",1511661901
962,1581828,4145813,"cart",1511662039
962,3629316,4145813,"cart",1511662359
962,5122722,4145813,"pv",1511662453
962,1581828,4145813,"pv",1511670434
962,3629316,4145813,"pv",1511670711
962,1581828,4145813,"pv",1511671206
962,3135586,4145813,"pv",1511672449
962,1581828,4145813,"pv",1511672624
962,3629316,4145813,"pv",1511672740
962,1581828,4145813,"buy",1511673602
962,4479133,4217906,"pv",1511679603
962,4158852,4217906,"pv",1511679655
962,2222517,4217906,"pv",1511679717
962,3455764,4217906,"pv",1511679752
962,4158852,4217906,"pv",1511679997
962,4479133,4217906,"pv",1511680005
962,4089470,4217906,"pv",1511681686
962,3455764,4217906,"pv",1511681824
962,4089470,4217906,"pv",1511681890
962,3342070,4217906,"pv",1511681949
962,4089470,4217906,"cart",1511686072
962,3342070,4217906,"pv",1511688041
962,4089470,4217906,"pv",1511688117
962,1581828,4145813,"pv",1511688177
962,4479133,4217906,"pv",1511688299
962,1431685,4217906,"cart",1511688563
962,1404528,4217906,"pv",1511688696
962,1431685,4217906,"buy",1511691817
962,1692072,4244487,"buy",1511701688
962,3493884,3065645,"pv",1511702127
962,1005315,3065645,"cart",1511702410
962,4089470,4217906,"pv",1511706363
962,621441,903809,"cart",1511706943
962,7521,903809,"cart",1511707469
962,205075,1299190,"pv",1511707829
962,1197806,1299190,"pv",1511707921
962,3883240,1299190,"pv",1511707968
962,1197806,1299190,"pv",1511708103
962,2703501,5053508,"pv",1511733737
962,3883240,1299190,"pv",1511763289
962,3390564,5053508,"pv",1511763529
962,2209911,5053508,"pv",1511764027
